country,keyword,period,k1,k2,corr
fr,telegraph,1860-1869,2,21,
fr,coal,1860-1869,3,23,
fr,steel,1870-1880,1,17,
fr,coal,1870-1880,3,29,
fr,telegraph,1870-1880,2,16,
fr,elec,1870-1880,2,7,
fr,elec,1880-1890,1,13,0.5884356319904327
fr,telegraph,1880-1890,3,22,0.7918821215629578
fr,coal,1880-1890,1,24,0.7489004701375961
fr,steel,1880-1890,1,7,0.649574090540409
fr,steel,1890-1900,1,10,0.5832299202680588
fr,coal,1890-1900,1,24,0.7469907164573669
fr,telegraph,1890-1900,1,16,0.7265876144170761
fr,elec,1890-1900,3,21,0.6976187149683635
fr,elec,1900-1910,1,22,0.7975096762180328
fr,telegraph,1900-1910,1,14,0.8482346475124359
fr,coal,1900-1910,3,18,0.7281996061404546
fr,steel,1900-1910,2,7,0.5189608494285494
fr,steel,1910-1920,2,7,0.5561135046184063
fr,coal,1910-1920,2,24,0.738403594493866
fr,coal,1910-1920,1,22,0.7702499151229858
fr,telegraph,1910-1920,2,19,0.7210405454039575
us,telegraph,1840-1850,1,7,0.9498405575752258
us,telegraph,1850-1860,1,10,0.92980894446373
us,telegraph,1860-1870,1,24,0.8631426095962524
us,telegraph,1870-1880,1,11,0.9564535975456238
de,telegraph,1888-1890,1,22,0.7952684044837952
de,telegraph,1890-1900,1,15,0.8587274491786957
de,telegraph,1900-1910,1,14,0.9140062510967256
de,telegraph,1910-1920,3,24,0.7644175797700882
de,telegraph,1920-1930,2,19,0.6897958874702455
es,telegraph,1860-1870,2,24,0.6654401667416096
es,telegraph,1870-1880,2,18,0.7711580902338028
es,telegraph,1880-1890,2,21,0.6520807627588511
es,telegraph,1890-1900,2,15,0.8280601084232331
es,telegraph,1900-1910,1,24,0.9040980756282806
es,telegraph,1910-1920,1,24,0.9392493665218352
it,telegraph,1910-1920,2,7,0.8638278149068356
it,telegraph,1920-1930,2,22,0.5974773705005645
it,coal,1910-1920,1,18,0.4809303909540176
it,coal,1920-1930,1,10,0.6198253588750958
it,steel,1910-1920,3,12,0.7374453445275625
it,steel,1920-1930,2,18,0.7989568322896958
it,elec,1910-1920,1,12,0.3147928400172127
it,elec,1920-1930,2,23,0.7056276317685842
us,coal,1840-1850,1,17,0.8319746077060699
us,coal,1850-1860,1,21,0.8680730342864991
us,coal,1860-1870,2,13,0.8183993980288506
us,coal,1870-1880,2,15,0.838869059085846
us,coal,1920-1930,1,22,0.8161879867315293
us,elec,1840-1850,1,16,0.8883154988288879
us,elec,1850-1860,1,20,0.905642521381378
us,elec,1860-1870,1,24,0.926135754585266
us,elec,1870-1880,1,21,0.9156840324401856
us,elec,1920-1930,2,21,0.916055330634117
us,steel,1840-1850,1,15,0.9806666135787964
us,steel,1850-1860,1,22,0.9125174462795258
us,steel,1860-1870,1,10,0.93187016248703
us,steel,1870-1880,1,17,0.933037942647934
us,steel,1920-1930,1,24,0.9035253405570984
de,coal,1880-1890,1,15,0.9235961019992828
de,coal,1890-1900,1,12,0.9623859643936156
de,coal,1900-1910,1,24,0.9467808067798614
de,coal,1910-1920,1,14,0.9252802789211272
de,coal,1920-1930,2,15,0.8648949474096299
de,elec,1880-1890,1,11,0.4419798048213124
de,elec,1890-1900,1,17,0.8483870387077331
de,elec,1900-1910,2,12,0.7485354691743851
de,elec,1910-1920,1,5,0.8375400066375732
de,elec,1920-1930,2,20,0.7489664226770401
de,steel,1880-1890,1,19,0.9870807230472564
de,steel,1890-1900,1,11,0.9817916810512544
de,steel,1900-1910,1,9,0.9746614038944243
de,steel,1910-1920,1,16,0.910264766216278
de,steel,1920-1930,1,16,0.7998746395111084
es,elec,1860-1870,2,21,0.8374889969825745
es,elec,1870-1880,2,19,0.6595143854618073
es,elec,1880-1890,2,23,0.7307646572589874
es,elec,1890-1900,1,18,0.8263696551322937
es,elec,1910-1920,1,11,0.8618036925792694
es,elec,1920-1930,1,23,0.8928063631057739
es,steel,1860-1870,1,10,0.5869528174400329
es,steel,1870-1880,2,16,0.7392612099647522
es,steel,1880-1890,2,17,0.7256784670054912
es,steel,1890-1900,1,19,0.9155355632305144
es,steel,1900-1910,1,21,0.8535748183727264
es,steel,1910-1920,1,24,0.9292645752429962
es,steel,1920-1930,1,20,0.933438104391098
es,coal,1860-1870,1,12,0.7863849699497223
es,coal,1870-1880,2,13,0.8326760441064835
es,coal,1880-1890,1,22,0.7685865879058837
es,coal,1890-1900,1,23,0.8965728938579559
es,coal,1900-1910,2,21,0.8239155493676662
es,coal,1910-1920,1,13,0.9139352560043336
es,coal,1920-1930,1,16,0.8972341179847717
